ryhmä 1;Lahden yhteiskoulu;TOKE
ryhmä 1;Lahden yhteiskoulu;Kuumat puumat
ryhmä 1;Lahden yhteiskoulu;Kurkkumopot
ryhmä 1;Lahden yhteiskoulu;Aurinkoiset ahmat
ryhmä 1;Lahden yhteiskoulu;Lykin taiturit
ryhmä 1;Lahden yhteiskoulu;Hyvöset
;;
ryhmä 2;Lahden yhteiskoulu;Tryhardaajat
ryhmä 2;Lahden yhteiskoulu;TOPI
ryhmä 2;Lahden kristillinen koulu;JARIT
ryhmä 2;Lahden Yhteiskoulu;Kuumat tiput
ryhmä 2;Heinsuon koulu;Rabdulin pojat
ryhmä 2;Kukkasen koulu;Tiikerit
;;
ryhmä 3;Kukkasen koulu;Kaarnat
ryhmä 3;Jokivarren koulu;TiiviTaavit
ryhmä 3;Lahden yhteiskoulu;AK:n nallekarkit
ryhmä 3;Ahtialan koulu;Ahtiala Ykkönen
ryhmä 3;Padasjoen yhtenäiskoulu;Konkariinat
ryhmä 3;Lahden yhteiskoulu;SWS
;;
ryhmä 4;Kärpäsen koulu;Mutanttininjat
ryhmä 4;Kärkölän yhtenäiskoulu;murut
ryhmä 4;Lahden yhteiskoulu;The Gang
ryhmä 4;Lahden yhteiskoulu;Kariston metsäläiset
ryhmä 4;Lahden kristillinen koulu;RANUT
ryhmä 4;Heinsuon koulu;VAU
;;
ryhmä 5;Lähteen koulu;Lähde 7B
ryhmä 5;Lahden yhteiskoulu;Kilpa-autot
ryhmä 5;Lahden yhteiskoulu;Kemistiset karvamadot
ryhmä 5;Lahden kristillinen koulu;Pojat
ryhmä 5;Heinsuon koulu;ALE
ryhmä 5;Heinsuon koulu;Sibidi-Sigmat
;;
ryhmä 6;Lahden yhteiskoulu;mäkin sigma kanta-asiakkaat
ryhmä 6;Salpakankaan koulu;SK Valo
ryhmä 6;Lahden yhteiskoulu;R.V.D
ryhmä 6;Ahtialan koulu;Ahtiala Kakkonen
ryhmä 6;Jokivarren koulu;Team Jokivarsi
ryhmä 6;Heinsuon koulu;Prisman kanta-asikkaat
;;
ryhmä 7;Lahden yhteiskoulu;Todelliset kirahvit
ryhmä 7;Padasjoen yhtenäiskoulu;NaistenPojat
ryhmä 7;Kärpäsen koulu;Ninja Go
ryhmä 7;Lahden yhteiskoulu;Stumpelot
ryhmä 7;Lahden kristillinen koulu;Kauppakärryt
ryhmä 7;Heinsuon koulu;Munamiehet
;;
ryhmä 8;Kärkölän yhtenäiskoulu;mussukat
ryhmä 8;Lahden yhteiskoulu;Skibidi sigmat
ryhmä 8;Lahden yhteiskoulu;EAS
ryhmä 8;Kukkasen koulu;Nallekarkit
ryhmä 8;Lahden kristillinen koulu;JormanSukat
ryhmä 8;Heinsuon koulu;Skibidi-sammakot
;;
ryhmä 9;Lahden yhteiskoulu;SAK
ryhmä 9;Padasjoen yhtenäiskoulu;Takapihan Pojat
ryhmä 9;Salpakankaan koulu;SK Taito
ryhmä 9;Lahden yhteiskoulu;Spiderman
ryhmä 9;Lahden kristillinen koulu;Iam
ryhmä 9;Heinsuon koulu;Jokerit
;;
ryhmä 10;Lahden kristillinen koulu;LIKAT
ryhmä 10;Salpakankaan koulu;SK Martat
ryhmä 10;Lahden yhteiskoulu;Apinat
ryhmä 10;Lahden yhteiskoulu;uwu kuhat
ryhmä 10;Heinsuon koulu;Koskenkorvat
ryhmä 10;Lahden yhteiskoulu;HattiWatit
